compiledRelease/planning/budget/description,value_million_dolar
CONTRATACION DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO CON PROVISION DE REPUESTOS A NECESIDAD PARA EQUIPOS BIOMEDICOS DE LA MARCA FUJINON PERTENECIENTES AL IPS,271.2687060344628
ADQUISICION DE JERINGAS DESECHABLES DE DIFERENTES MEDIDAS PARA EL MSP Y BS,1709.9990343010777
ADQUISICIÓN DE REACTIVOS DE INMUNOHISTOQUIMICA PARA EL INSTITUTO NACIONAL DEL CANCER,968.5412228814251
ADQUISICION DE SET DE BOMBAS DE INFUSION VOLUMETRICAS Y EQUIPOS EN CARACTER DE COMODATO,3830.404646442674
CONTRATACIÓN DE SERVICIO DE MANTENIMIENTO Y REPARACIÓN DEL HOSPITAL REGIONAL DE CONCEPCIÓN ,642.7474462405273
ADQUISICION DE EQUIPOS BIOMEDICOS PARA EL EQUIPAMIENTO DEL HOSPITAL REGIONAL DE CORONEL OVIEDO,1203.2715712316165
CONTRATACIÓN DE SERVICIOS DE PUBLICIDAD EN MEDIOS ESCRITOS PARA LA JUSTICIA ELECTORAL - PLURIANUAL 2019/2020,182.28657412809318
ADQUISICION DE TEST PARA DETECCION DE INFLUENZA A Y B,141.13399905978125
Mantenimiento y Reparaciones de Dependencias de la IX R.S.- Paraguari,257.7789937164954
Adquisición de Papel Higiénico para la Municipalidad de Encarnación - AD REFERENDUM 2020,18.412785265463956
MANTENIMIENTO Y REPARACIÓN DE MOTORES ELÉCTRICOS DE PLANTA DE VIÑAS CUE Y CENTRO DE DISTRIBUCIÓN ASUNCIÓN Y GRAN ASUNCIÓN,530.4509099622254
Consultoría para Seguimiento del Plan Estratégico - Ad Referéndum 2021,15.159786333265558
Servicio de Mantenimiento y Reparaciones Menores de Oficinas,805.0111087329279
Bacheo asfaltico y seguridad vial,22.534151703276287
CONTRATACIÓN DE SERVICIOS DE COURIER EN EL MARCO DE LAS ELECCIONES MUNICIPALES 2021 - AD REFERÉNDUM AL PRESUPUESTO 2021,28.175388805652478
SERVICIO DE LAVADO DE VEHICULOS.,13.584562459868158
Servicios gastronómicos para la Municipalidad de Encarnación,8.172391554321056
"ADQUISICIÓN DE SERVIDORES, EQUIPOS NAS Y EQUIPOS DE MONITOREO AMBIENTAL",307.718406933327
Adquisición de Equipos Informaticos.,355.56362294616764
"SERVICIO DE SOPORTE TÉCNICO, RENOVACIÓN DE LICENCIAS Y SOFWARE PARA EL CODI",20.791860582388942
"""ADQUISICIÓN DE IMPRESORA DE TARJETAS PLÁSTICAS"" ",11.653830356461825
"CD N° 61/21 ADQUISICIÓN DE MEDICAMENTO ADALIMUMAB INYECTABLE 40 MG/0,8 ML - AMPARO.",28.28056097372801
Servicio de disposición final de residuos de la ciudad - AD REFERENDUM 2022,24.01695267707725
ADQUISICION E COMBUSTIBLES - GASOIL NAFTA - AD REFERENDUM,28.582878168301235
ADQUISICIÓN DE MUEBLES PARA PROYECTOS DE INVESTIGACIÓN - CONACYT,4.227742252672693
ADQUISICION DE RETRO EXCAVADORA (USADA) PARA LA MUNICIPALIDAD DE SAN RAFAEL DEL PARANÁ.,62.05293963149653
CONTRATACIÓN DE SERVICIOS DE STREAMING Y SOPORTE TÉCNICO EN EL MARCO DE LAS ELECCIONES MUNICIPALES 2021 - AD REFERÉNDUM AL PLAN FINANCIERO 2021,27.459235622518747
Adquisición de Poste de Eucalipto Preservado,94.59542406887466
 Adquisición de una Cortadora de Césped,9.166699138947507
"RECARGA DE EXTINTORES PARA LA JUNTA MUNICIPAL DE ASUNCION, DEFENSORIA MUNICIPAL Y JUZGADO DE FALTAS",1.0755385415111054
Adquisición de mangas filtrantes y canastillas para Fabrica Vallemi y Cip Villeta,560.0656849678752
ADQUISICION DE EQUIPOS PARA ANALISIS DE GLP,8.335839385407477
ADQUISICION DE PERIODICOS,9.806869865185266
Construcción de pavimento pétreo tipo empedrado con cordón cuneta - Calle Padre Joaquín Kluzcka tramo 1 y 2 del Distrito de Cambyretá - Plurianual,28.25120982946067
CONTRATACIÓN DE SERVICIOS FÚNEBRES PARA EL PERSONAL POLICIAL - AD REFERÉNDUM,67.08425906107732
CONTRATACIÓN DE SERVICIOS DE PUBLICIDAD EN RADIO PARA LA JUSTICIA ELECTORAL - PLURIANUAL 2019/2020,276.1917789819594
CONTRATACION DE SEGURO MEDICO Y ODONTOLOGICO PREPAGO PARA EL MRE,2978.541102311833
MANTENIMIENTO Y REPARACION DE TANQUE DE AGUA - AD REFERENDUM,11.739745335688532
IMPRESIÓN DE FACTURA CONTADO/CRÉDITO - CUADRUPLICADO (TIMBRADO VENCIMIENTO 2021),6.044560078439312
Servicio de Lavado de Vehiculos,3.354212953053866
Mantenimiento y Reparación de Acondicionadores de Aire - Secretaría Nacional de Cultura,18.448171241796263
Mantenimiento y reparación de impresoras varias - Lotes desiertos.,27.672256862694397
SERVICIO DE IMPLEMENTACIÓN DE FIRMA DIGITAL (AD REFERENDUM),12.04162450146338
"ADQUISICIÓN DE EQUIPOS, HERRAMIENTAS E INSECTICIDAS PARA LA DIRECCÓN DE CATASTRO MUNICIPAL",11.229586964020053
Servicio de Lavado y Aspirado de Vehículos,3.354212953053866
Consultoría para Contratación de Consultores Académicos y Médico.,92.57627750428671
